Time,PV_6 (kW),PV_10 (kW),PV_4 (kW),PV_9 (kW),PV_680 (kW),PV_14 (kW)
12:05,326.25727180411803,344.1746505596964,478.2611390967548,318.11256639348375,0.0,139.82454505990754
12:10,321.7626601995365,344.49401226891814,456.5222781935095,330.0544604172385,0.0,137.8982829438476
12:15,317.268048594955,344.81337397813996,434.78341729026437,341.9963544409932,0.0,135.97202082778765
12:20,311.6620659565405,344.846990976941,439.71674066857884,330.1591053251011,0.0,133.56945684013178
12:25,306.05608331812607,344.8806079757421,444.65006404689325,318.32185620920905,0.0,131.1668928524759
12:30,300.45010067971157,344.9142249745432,449.5833874252077,306.48460709331704,0.0,128.76432886482004
12:35,297.407476824065,344.99586636540045,457.7900941515118,312.6777837838708,0.0,127.4603472125282
12:40,294.3648529684184,345.0775077562578,465.9968008778159,318.87096047442463,0.0,126.15636556023635
12:45,291.3222291127718,345.15914914711504,474.20350760412,325.0641371649784,0.0,124.85238390794451
12:50,287.71627766141575,346.77276609807666,456.00926206613565,330.51242237383747,0.0,123.30697614322948
12:55,284.1103262100597,348.38638304903833,437.81501652815143,335.96070758269656,0.0,121.76156837851447
13:00,280.5043747587037,350.0,419.6207709901671,341.4089927915557,0.0,120.21616061379943
13:05,290.33203890992496,349.87633737639936,408.5653528335234,340.99828975509695,0.0,124.42801667819471
13:10,300.1597030611462,349.75267475279867,397.5099346768796,340.5875867186382,0.0,128.63987274258997
13:15,309.9873672123675,349.62901212919803,386.45451652023587,340.17688368217944,0.0,132.85172880698528
13:20,302.5429279810502,344.82538010767,396.4219066696358,332.5546854885489,0.0,129.6612548510199
13:25,295.0984887497329,340.02174808614194,406.38929681903574,324.9324872949184,0.0,126.47078089505455
13:30,287.6540495184156,335.2181160646139,416.35668696843567,317.3102891012878,0.0,123.28030693908919
13:35,278.81111686045296,305.2485429445038,403.76687045896256,306.9189397375302,0.0,119.49047865747755
13:40,269.96818420249025,275.27896982439376,391.17705394948945,296.5275903737725,0.0,115.70065037586593
13:45,261.1252515445276,245.30939670428367,378.58723744001634,286.1362410100149,0.0,111.9108220942543
13:50,258.0367754453844,260.51029265040023,383.08039002358413,285.5038708539536,0.0,110.58718948046585
13:55,254.94829934624133,275.7111885965168,387.5735426071518,284.87150069789215,0.0,109.2635568666774
14:00,251.85982324709815,290.9120845426334,392.06669519071954,284.23913054183083,0.0,107.93992425288896
14:05,258.8239056636191,294.0516740834823,388.09430813238924,278.0335764292522,0.0,110.92453100253327
14:10,265.78798808014005,297.19126362433116,384.12192107405906,271.82802231667364,0.0,113.90913775217757
14:15,272.752070496661,300.33085316518,380.1495340157288,265.62246820409507,0.0,116.89374450182187
14:20,260.3282959356106,292.470473562491,360.8672604705007,253.8032225735558,0.0,111.56926968555354
14:25,247.90452137456015,284.61009395980204,341.5849869252726,241.98397694301647,0.0,106.2447948692852
14:30,235.48074681350974,276.7497143571131,322.30271338004445,230.16473131247716,0.0,100.92032005301685
14:35,233.27765569915437,270.71786052261666,320.62727430988355,228.02795035748514,0.0,99.97613815187007
14:40,231.07456458479905,264.68600668812024,318.9518352397227,225.89116940249312,0.0,99.03195625072327
14:45,228.8714734704437,258.6541528536238,317.27639616956185,223.7543884475011,0.0,98.08777434957649
14:50,222.98491877609214,245.2277552503945,315.03834432120846,221.30479800521618,0.0,95.56496519510229
14:55,217.09836408174056,231.80135764716516,312.800292472855,218.85520756293127,0.0,93.04215604062806
15:00,211.211809387389,218.37496004393583,310.5622406245016,216.40561712064635,0.0,90.51934688615384
15:05,205.8045197659161,216.42637348469847,294.561099987866,214.21707630033367,0.0,88.20193704860745
15:10,200.3972301444432,214.47778692546112,278.5599593512303,212.02853548002102,0.0,85.88452721106104
15:15,194.98994052297033,212.52920036622376,262.5588187145946,209.83999465970834,0.0,83.56711737351463
15:20,194.41132888430553,205.23550771995787,252.08151223765108,200.3893240531983,0.0,83.31914095696838
15:25,193.83271724564077,197.941815073692,241.60420576070757,190.93865344668828,0.0,83.07116454042212
15:30,193.25410560697597,190.6481224274261,231.126899283764,181.48798284017823,0.0,82.82318812387587
15:35,179.78883011925507,184.06999201888846,233.04102260723846,175.10577019141672,0.0,77.05235576764974
15:40,166.32355463153417,177.49186161035084,234.95514593071292,168.72355754265521,0.0,71.28152341142363
15:45,152.85827914381323,170.9137312018132,236.86926925418737,162.3413448938937,0.0,65.51069105519751
15:50,145.49026031641304,160.29315412520043,228.7121592356607,156.13916649020038,0.0,62.35296869845133
15:55,138.12224148901288,149.67257704858767,220.55504921713396,149.93698808650706,0.0,59.195246341705136
16:00,130.7542226616127,139.05199997197494,212.39793919860728,143.73480968281373,0.0,56.03752398495895
16:05,125.49759044438014,128.6031098668967,195.7458415821921,138.3079035736747,0.0,53.78468160636635
16:10,120.24095822714759,118.15421976181847,179.09374396577695,132.88099746453565,0.0,51.531839227773744
16:15,114.98432600991502,107.70532965674023,162.4416463493618,127.45409135539664,0.0,49.27899684918115
16:20,107.75168046928995,99.08616590129158,157.61061616202144,120.41925471668567,0.0,46.179291617789254
16:25,100.5190349286649,90.46700214584293,152.77958597468108,113.38441807797469,0.0,43.07958638639735
16:30,93.28638938803981,81.84783839039426,147.94855578734072,106.3495814392637,0.0,39.97988115500546
16:35,85.25242129375324,73.75574147737709,133.4570151293033,97.28260871207173,0.0,36.53675197699083
